Player,Region,League,Year,Dataset,Team,Pos,GP,WAR,WAR_per_game,proj_WAR
Contractz,Americas,LCS,2023,full year (per-game derived),NRG,Jungle,64,19.838,0.31,17.579
Pyosik,Americas,LCS,2023,full year (per-game derived),Team Liquid,Jungle,58,19.191,0.3309,17.009
Inspired,Americas,LCS,2023,full year (per-game derived),Evil Geniuses,Jungle,25,18.101,0.724,15.254
Armao,Americas,LCS,2023,full year (per-game derived),Evil Geniuses,Jungle,17,7.897,0.4645,11.213
Santorin,Americas,LCS,2023,full year (per-game derived),Dignitas,Jungle,45,3.105,0.069,7.184
Closer,Americas,LCS,2023,full year (per-game derived),100 Thieves,Jungle,51,1.042,0.0204,5.613
Bugi,Americas,LCS,2023,full year (per-game derived),TSM,Jungle,46,-3.125,-0.0679,3.437
Sheiden,Americas,LCS,2023,full year (per-game derived),Evil Geniuses,Jungle,13,-21.732,-1.6717,2.868
Kenvi,Americas,LCS,2023,full year (per-game derived),Immortals,Jungle,36,-24.25,-0.6736,-6.847
Ryoma,Americas,LCS,2023,full year (per-game derived),Evil Geniuses,Middle,1,23.031,23.031,2.67
Gori,Americas,LCS,2023,full year (per-game derived),Golden Guardians,Middle,64,14.027,0.2192,10.063
Quid,Americas,LCS,2023,full year (per-game derived),100 Thieves,Middle,20,13.085,0.6542,6.315
Maple,Americas,LCS,2023,full year (per-game derived),TSM,Middle,18,10.971,0.6095,5.274
Bjergsen,Americas,LCS,2023,full year (per-game derived),100 Thieves,Middle,28,10.791,0.3854,6.146
Jojopyun,Americas,LCS,2023,full year (per-game derived),Evil Geniuses,Middle,54,9.503,0.176,6.744
Jensen,Americas,LCS,2023,full year (per-game derived),Dignitas,Middle,45,9.402,0.2089,6.361
Palafox,Americas,LCS,2023,full year (per-game derived),NRG,Middle,64,7.252,0.1133,5.526
Bolulu,Americas,LCS,2023,full year (per-game derived),Immortals,Middle,25,3.928,0.1571,2.866
Haeri,Americas,LCS,2023,full year (per-game derived),Team Liquid,Middle,28,2.094,0.0748,2.058
Insanity,Americas,LCS,2023,full year (per-game derived),TSM,Middle,25,1.957,0.0783,1.995
VicLa,Americas,LCS,2023,full year (per-game derived),FlyQuest,Middle,47,-0.652,-0.0139,0.424
Nukeduck,Americas,LCS,2023,full year (per-game derived),100 Thieves,Middle,3,-1.156,-0.3853,1.749
EMENES,Americas,LCS,2023,full year (per-game derived),Cloud9,Middle,50,-2.312,-0.0462,-0.633
Diplex,Americas,LCS,2023,full year (per-game derived),Cloud9,Middle,9,-3.46,-0.3844,0.809
Young,Americas,LCS,2023,full year (per-game derived),Golden Guardians,Middle,2,-6.436,-3.218,1.521
APA,Americas,LCS,2023,full year (per-game derived),Team Liquid,Middle,30,-10.111,-0.337,-3.888
Ablazeolive,Americas,LCS,2023,full year (per-game derived),Immortals,Middle,11,-10.903,-0.9912,-1.315
Ruby,Americas,LCS,2023,full year (per-game derived),TSM,Middle,3,-17.74,-5.9133,0.31
Spirax,Americas,LCS,2023,full year (per-game derived),FlyQuest,Middle,1,-22.209,-22.209,1.281
FBI,Americas,LCS,2023,full year (per-game derived),Evil Geniuses,ADC,25,20.793,0.8317,11.563
Doublelift,Americas,LCS,2023,full year (per-game derived),100 Thieves,ADC,51,19.655,0.3854,13.767
Berserker,Americas,LCS,2023,full year (per-game derived),Cloud9,ADC,59,18.048,0.3059,13.24
UNF0RGIVEN,Americas,LCS,2023,full year (per-game derived),Evil Geniuses,ADC,30,17.19,0.573,10.557
FBI,Americas,LCS,2023,full year (per-game derived),NRG,ADC,38,9.133,0.2403,6.919
Prince,Americas,LCS,2023,full year (per-game derived),FlyQuest,ADC,48,7.945,0.1655,6.48
Stixxay,Americas,LCS,2023,full year (per-game derived),Golden Guardians,ADC,66,4.453,0.0675,4.388
Yeon,Americas,LCS,2023,full year (per-game derived),Team Liquid,ADC,58,4.054,0.0699,4.124
Tactical,Americas,LCS,2023,full year (per-game derived),Immortals,ADC,36,3.187,0.0885,3.685
Luger,Americas,LCS,2023,full year (per-game derived),NRG,ADC,26,0.0,0.0,2.332
Tomo,Americas,LCS,2023,full year (per-game derived),Dignitas,ADC,36,-1.67,-0.0464,1.097
WildTurtle,Americas,LCS,2023,full year (per-game derived),TSM,ADC,35,-9.689,-0.2768,-3.077
Neo,Americas,LCS,2023,full year (per-game derived),TSM,ADC,11,-31.547,-2.8679,-4.998
Spawn,Americas,LCS,2023,full year (per-game derived),Dignitas,ADC,9,-62.175,-6.9083,-10.484
Ignar,Americas,LCS,2023,full year (per-game derived),NRG,Support,38,45.713,1.203,28.453
Fleshy,Americas,LCS,2023,full year (per-game derived),Immortals,Support,18,38.681,2.1489,18.935
huhi,Americas,LCS,2023,full year (per-game derived),Golden Guardians,Support,66,27.763,0.4207,21.264
Vulcan,Americas,LCS,2023,full year (per-game derived),Evil Geniuses,Support,25,26.79,1.0716,16.124
Zven,Americas,LCS,2023,full year (per-game derived),Cloud9,Support,59,24.879,0.4217,18.883
Chime,Americas,LCS,2023,full year (per-game derived),TSM,Support,46,24.868,0.5406,17.872
CoreJJ,Americas,LCS,2023,full year (per-game derived),Team Liquid,Support,58,21.792,0.3757,16.817
Vulcan,Americas,LCS,2023,full year (per-game derived),FlyQuest,Support,18,12.36,0.6867,9.377
Eyla,Americas,LCS,2023,full year (per-game derived),Evil Geniuses,Support,30,9.207,0.3069,8.422
Busio,Americas,LCS,2023,full year (per-game derived),100 Thieves,Support,51,6.146,0.1205,6.731
Winsome,Americas,LCS,2023,full year (per-game derived),FlyQuest,Support,14,5.032,0.3594,6.864
Ignar,Americas,LCS,2023,full year (per-game derived),Dignitas,Support,12,1.238,0.1032,5.903
Treatz,Americas,LCS,2023,full year (per-game derived),Immortals,Support,18,0.0,0.0,4.889
Eyla,Americas,LCS,2023,full year (per-game derived),FlyQuest,Support,16,-5.446,-0.3404,3.263
Poome,Americas,LCS,2023,full year (per-game derived),NRG,Support,26,-5.618,-0.2161,1.672
Poome,Americas,LCS,2023,full year (per-game derived),Dignitas,Support,15,-6.371,-0.4247,3.152
Diamond,Americas,LCS,2023,full year (per-game derived),Dignitas,Support,12,-16.665,-1.3888,0.972
Biofrost,Americas,LCS,2023,full year (per-game derived),Dignitas,Support,6,-21.077,-3.5128,3.084
Impact,Americas,LCS,2024,full year (per-game derived),Team Liquid,Top,62,59.568,0.9608,46.024
Rich,Americas,LCS,2024,full year (per-game derived),Dignitas,Top,18,48.171,2.6762,32.46
Castle,Americas,LCS,2024,full year (per-game derived),Immortals,Top,29,32.921,1.1352,26.451
Thanatos,Americas,LCS,2024,full year (per-game derived),Cloud9,Top,24,31.056,1.294,25.063
Bwipo,Americas,LCS,2024,full year (per-game derived),FlyQuest,Top,64,23.886,0.3732,22.77
Fudge,Americas,LCS,2024,full year (per-game derived),Cloud9,Top,23,17.128,0.7447,21.533
Sniper,Americas,LCS,2024,full year (per-game derived),100 Thieves,Top,60,8.907,0.1484,11.69
Licorice,Americas,LCS,2024,full year (per-game derived),Dignitas,Top,30,-2.969,-0.099,17.282
FakeGod,Americas,LCS,2024,full year (per-game derived),Shopify Rebellion,Top,30,-10.185,-0.3395,9.635
Dhokla,Americas,LCS,2024,full year (per-game derived),NRG,Top,44,-12.147,-0.2761,0.775
Contractz,Americas,LCS,2024,full year (per-game derived),NRG,Jungle,44,30.839,0.7009,23.141
Spica,Americas,LCS,2024,full year (per-game derived),Dignitas,Jungle,30,30.245,1.0082,26.939
Bugi,Americas,LCS,2024,full year (per-game derived),Shopify Rebellion,Jungle,24,19.649,0.8187,12.038
Inspired,Americas,LCS,2024,full year (per-game derived),FlyQuest,Jungle,64,19.11,0.2986,17.812
Blaber,Americas,LCS,2024,full year (per-game derived),Cloud9,Jungle,47,17.342,0.369,18.063
River,Americas,LCS,2024,full year (per-game derived),100 Thieves,Jungle,60,12.838,0.214,16.01
Tomio,Americas,LCS,2024,full year (per-game derived),Shopify Rebellion,Jungle,6,10.519,1.7532,16.881
Armao,Americas,LCS,2024,full year (per-game derived),Immortals,Jungle,29,0.0,0.0,7.585
UmTi,Americas,LCS,2024,full year (per-game derived),Team Liquid,Jungle,62,-7.242,-0.1168,0.292
eXyu,Americas,LCS,2024,full year (per-game derived),Dignitas,Jungle,18,-15.992,-0.8884,3.13
Quid,Americas,LCS,2024,full year (per-game derived),100 Thieves,Middle,60,40.929,0.6822,30.28
Quad,Americas,LCS,2024,full year (per-game derived),FlyQuest,Middle,38,32.631,0.8587,24.357
Jojopyun,Americas,LCS,2024,full year (per-game derived),Cloud9,Middle,47,27.727,0.5899,19.597
Mask,Americas,LCS,2024,full year (per-game derived),Immortals,Middle,29,22.974,0.7922,18.504
