Region,League,Year,Dataset,Team,Team_WAR,WAR_per_Game,W,L,GP,W_pct,Players,Projected_Team_WAR,Proj_WAR_per_Game
Americas,CBLOL,2025,full year (per-game derived),Vivo Keyd Stars,22.12,0.434,30,21,51,0.5882,"Boal, Disamis, Mireu, Morttheus, Trymbi",32.66,0.64
Americas,CBLOL,2026,full year (per-game derived),RED Canids,111.35,2.421,27,19,46,0.587,"zynts, STEPZ, Kaze, Morttheus, frosty",86.76,1.886
Americas,CBLOL,2026,full year (per-game derived),LØS,73.21,1.284,32,25,57,0.5614,"Zest, Curse, Feisty, Duduhh, Ackerman",69.76,1.224
Americas,CBLOL,2026,full year (per-game derived),FURIA,73.04,1.461,34,16,50,0.68,"Guigo, Tatu, Tutsz, Ayu, JoJo",73.8,1.476
Americas,CBLOL,2026,full year (per-game derived),paiN Gaming,60.91,2.03,8,22,30,0.2667,"Robo, CarioK, Keine, Trigger, Kuri",57.13,1.904
Americas,CBLOL,2026,full year (per-game derived),Vivo Keyd Stars,49.97,1.281,16,23,39,0.4103,"Wizer, sarolu, Mireu, ceo, Kaiwing",50.95,1.306
Americas,CBLOL,2026,full year (per-game derived),LOUD,42.81,0.892,27,21,48,0.5625,"xyno, YoungJae, Envy, Bull, uZent",48.09,1.002
Americas,CBLOL,2026,full year (per-game derived),Leviatan,30.22,0.817,12,25,37,0.3243,"Devost, Booki, Enga, Snaker, TopLop",35.89,0.97
Americas,CBLOL,2026,full year (per-game derived),Fluxo W7M,5.96,0.153,17,22,39,0.4359,"curty, Peach, cody, BAO, Momochi",31.93,0.819
Americas,NACL,2023,full year (per-game derived),Team Liquid Challengers,141.75,1.477,60,36,96,0.625,"Bradley, Mir, Haeri, Arrow, Kim Down",101.45,1.057
Americas,NACL,2023,full year (per-game derived),Disguised,120.47,2.409,33,17,50,0.66,"FakeGod, Tomio, Young, Meech, Zeyzal",97.61,1.952
Americas,NACL,2023,full year (per-game derived),Dignitas Challengers,119.3,2.651,32,13,45,0.7111,"Hoon, eXyu, Insanity, Spawn, Diamond",90.2,2.004
Americas,NACL,2023,full year (per-game derived),Cloud9 Challengers,105.38,2.195,36,12,48,0.75,"FakeGod, Tomio, Diplex, Lost, Zeyzal",85.85,1.789
Americas,NACL,2023,full year (per-game derived),CLG Challengers,97.07,2.554,23,15,38,0.6053,"Jenkins, Kevy, Copy, Meech, Breezy",80.89,2.129
Americas,NACL,2023,full year (per-game derived),Native Gaming,95.56,9.556,5,5,10,0.5,"Shockey, Fanatiik, Messages, Scoooped, Rhino",69.62,6.962
Americas,NACL,2023,full year (per-game derived),Miracle,94.55,7.273,4,9,13,0.3077,"Lawrence, LJX, rovex, Kaido, Daption",65.61,5.047
Americas,NACL,2023,full year (per-game derived),Golden Guardians Challengers,93.22,2.274,24,17,41,0.5854,"Concept, RoseThorn, Young, Array, Prismal",79.38,1.936
Americas,NACL,2023,full year (per-game derived),100 Thieves Challengers,90.16,2.254,24,16,40,0.6,"Darshan, Yukino, PrettyGRE, UNF0RGIVEN, destiny",85.96,2.149
Americas,NACL,2023,full year (per-game derived),Maryville University,89.89,1.474,28,33,61,0.459,"Niles, OddOrange, Getback, ScaryJerry, Zyko",80.18,1.314
Americas,NACL,2023,full year (per-game derived),AOE Gold,83.99,1.0,37,47,84,0.4405,"Concept, Will, DARKWINGS, links, Breezy",67.32,0.801
Americas,NACL,2023,full year (per-game derived),Evil Geniuses Challengers,83.31,0.936,38,51,89,0.427,"Srtty, Armao, Ryoma, k1ng, Smoothie",78.16,0.878
Americas,NACL,2023,full year (per-game derived),FlyQuest NZXT,81.26,0.883,57,35,92,0.6196,"Faisal, Yuuji, Spirax, Massu, Winsome",77.23,0.839
Americas,NACL,2023,full year (per-game derived),Wildcard Gaming,76.19,0.907,46,38,84,0.5476,"Zamudo, Keel, Soligo, Lens, donbray",69.7,0.83
Americas,NACL,2023,full year (per-game derived),Apex Mission Impossible,75.57,4.445,7,10,17,0.4118,"Dec0y, Hyphe, Ariendel, Bazz, Pockus",66.19,3.894
Americas,NACL,2023,full year (per-game derived),CB Gaming,73.87,4.925,5,10,15,0.3333,"Geiger, Kolthro, Klexo, Airren, Mixtsure",63.3,4.22
Americas,NACL,2023,full year (per-game derived),Immortals Challengers,69.91,1.889,18,19,37,0.4865,"ADD, Chad, Yusui, Wixxi, Joey",62.94,1.701
Americas,NACL,2023,full year (per-game derived),LiT Esports,64.21,2.378,13,14,27,0.4815,"Dragoon, Kisno, Messages, ROCKBOOM, Plux",62.48,2.314
Americas,NACL,2023,full year (per-game derived),Mirage Alliance,60.89,2.255,19,8,27,0.7037,"Allorim, Chad, Sudzzi, Neo, Dardoch",60.74,2.25
Americas,NACL,2023,full year (per-game derived),Team Ambition,58.04,1.527,18,20,38,0.4737,"Porsche, Leemo, Kachu, Levitate, Snow2",60.46,1.591
Americas,NACL,2023,full year (per-game derived),TSM Challengers,51.96,1.404,16,21,37,0.4324,"Hauntzer, Svenskeren, Doxa, Neo, Dragku",55.04,1.488
Americas,NACL,2023,full year (per-game derived),Cincinnati Fear,46.35,0.478,57,40,97,0.5876,"Philip, Perry, shochi, Minui, JayJ",49.8,0.513
Americas,NACL,2023,full year (per-game derived),Winthrop University,36.92,1.154,17,15,32,0.5312,"Denathor, Wilson, Sword, Mobility, Chookies",51.08,1.596
Americas,NACL,2023,full year (per-game derived),Team Fish Taco,35.99,0.654,19,36,55,0.3455,"lunacia, RoseThorn, Onat, Spawn, Nxi",48.05,0.874
Americas,NACL,2023,full year (per-game derived),Supernova,33.02,0.508,26,39,65,0.4,"Qwacker, Music, RobbyBob, Sketch, Trevor",44.43,0.684
Americas,NACL,2023,full year (per-game derived),FLY FAM,29.13,0.809,5,31,36,0.1389,"lunacia, Hyper, Blazze, Instinct, Sword",42.53,1.181
Americas,NACL,2023,full year (per-game derived),Team Liquid First,25.16,0.599,9,33,42,0.2143,"Srtty, Kaido, Aspect, miya, rovex",45.13,1.075
Americas,NACL,2023,full year (per-game derived),Kelyx's Grandpa Gamers,-16.76,-3.352,1,4,5,0.2,"IamSunlight, RBM, omly, EvanRL, Menace",51.33,10.266
Americas,NACL,2023,full year (per-game derived),CCG Esports,-21.68,-1.204,8,10,18,0.4444,"Shockey, Hyper, Rain1, Lunar, Bruhruto",42.78,2.377
Americas,NACL,2023,full year (per-game derived),CLG Faith,-31.01,-0.886,2,33,35,0.0571,"Bejjaniii, Nxi, Town, Airren, Sketch",21.56,0.616
Americas,NACL,2024,full year (per-game derived),Apex Mission Impossible,118.24,14.78,0,8,8,0.0,"Dec0y, Lojaz, Zalt, Bazz, Pockus",60.5,7.562
Americas,NACL,2024,full year (per-game derived),Dragoon's Goons,110.93,5.042,14,8,22,0.6364,"Dragoon, Kisno, Sudzzi, Array, Daption",77.7,3.532
Americas,NACL,2024,full year (per-game derived),Maryville University,99.73,2.432,28,13,41,0.6829,"Niles, Yuuji, Spirax, ScaryJerry, Zyko",85.21,2.078
Americas,NACL,2024,full year (per-game derived),Dragonsteel,95.48,3.183,26,4,30,0.8667,"Zamudo, Yuuji, Spirax, ScaryJerry, Zyko",77.39,2.58
Americas,NACL,2024,full year (per-game derived),Area of Effect Esports,85.34,1.293,27,39,66,0.4091,"Cozy, Kaido, Onat, Mobility, Breezy",63.87,0.968
Americas,NACL,2024,full year (per-game derived),Team Liquid Challengers,82.51,1.331,26,36,62,0.4194,"Jenkins, Keel, Roamer, Spawn, Kim Down",74.43,1.2
Americas,NACL,2024,full year (per-game derived),FlyQuest NZXT,75.8,1.053,49,23,72,0.6806,"Srtty, Sheiden, Bradley, sajed, Chime",67.68,0.94
Americas,NACL,2024,full year (per-game derived),Fear x Starforge,69.61,1.881,20,17,37,0.5405,"Philip, eXyu, Ablazeolive, Instinct, Winsome",59.95,1.62
